	app_size	app_lang	multihoming	paid	in_app_purchases	updates_per_month	elapsed_avg_days	avg_age_days
count	185.00	185.00	185.00	185.00	185.00	185.00	185.00	185.00
mean	81.35	6.61	0.26	0.05	0.63	0.69	1717.54	1822.54
std	96.12	9.51	0.44	0.23	0.48	1.13	1184.79	1184.79
min	0.71	1.00	0.00	0.00	0.00	0.00	43.00	148.00
25%	11.62	1.00	0.00	0.00	0.00	0.00	643.00	748.00
50%	43.05	2.00	0.00	0.00	1.00	0.00	1520.00	1625.00
75%	112.80	10.00	1.00	0.00	1.00	1.00	2541.00	2646.00
max	496.74	67.00	1.00	1.00	1.00	6.00	4887.00	4992.00
