	app_size	app_lang	multihoming	paid	in_app_purchases	updates_per_month	elapsed_avg_days	avg_age_days
count	269.00	269.00	269.00	269.00	269.00	269.00	269.00	269.00
mean	99.04	9.70	0.26	0.06	0.72	0.26	1709.87	1814.87
std	97.77	11.49	0.44	0.24	0.45	0.61	1270.63	1270.63
min	1.17	1.00	0.00	0.00	0.00	0.00	19.00	124.00
25%	37.69	1.00	0.00	0.00	0.00	0.00	756.00	861.00
50%	70.52	5.00	0.00	0.00	1.00	0.00	1489.00	1594.00
75%	123.95	15.00	1.00	0.00	1.00	0.00	2485.00	2590.00
max	732.03	83.00	1.00	1.00	1.00	4.00	5012.00	5117.00
