	app_size	app_lang	multihoming	paid	in_app_purchases	updates_per_month	elapsed_avg_days	avg_age_days
count	155.00	155.00	155.00	155.00	155.00	155.00	155.00	155.00
mean	163.34	9.08	0.41	0.07	0.88	0.83	1207.71	1312.71
std	139.28	8.71	0.49	0.26	0.33	1.36	894.10	894.10
min	1.22	1.00	0.00	0.00	0.00	0.00	29.00	134.00
25%	66.94	1.00	0.00	0.00	1.00	0.00	412.50	517.50
50%	136.38	7.00	0.00	0.00	1.00	0.00	1011.00	1116.00
75%	219.23	15.00	1.00	0.00	1.00	1.00	1755.00	1860.00
max	1100.00	37.00	1.00	1.00	1.00	9.00	3357.00	3462.00
