	app_size	app_lang	multihoming	paid	in_app_purchases	updates_per_month	elapsed_avg_days	avg_age_days
count	191.00	191.00	191.00	191.00	191.00	191.00	191.00	191.00
mean	108.66	10.55	0.34	0.08	0.77	0.45	1400.74	1505.74
std	110.72	11.53	0.47	0.27	0.42	0.79	1100.45	1100.45
min	1.17	1.00	0.00	0.00	0.00	0.00	17.00	122.00
25%	37.72	1.00	0.00	0.00	1.00	0.00	536.50	641.50
50%	71.27	7.00	0.00	0.00	1.00	0.00	1027.00	1132.00
75%	142.84	15.00	1.00	0.00	1.00	1.00	2207.50	2312.50
max	732.03	83.00	1.00	1.00	1.00	4.00	4157.00	4262.00
