	app_size	app_lang	multihoming	paid	in_app_purchases	updates_per_month	elapsed_avg_days	avg_age_days
count	133.00	133.00	133.00	133.00	133.00	133.00	133.00	133.00
mean	83.54	8.93	0.40	0.11	0.68	0.55	1558.33	1663.33
std	97.39	10.55	0.49	0.31	0.47	1.11	1028.93	1028.93
min	1.83	1.00	0.00	0.00	0.00	0.00	65.00	170.00
25%	23.72	1.00	0.00	0.00	0.00	0.00	706.00	811.00
50%	50.78	4.00	0.00	0.00	1.00	0.00	1422.00	1527.00
75%	104.95	11.00	1.00	0.00	1.00	1.00	2248.00	2353.00
max	601.68	44.00	1.00	1.00	1.00	6.00	4102.00	4207.00
