	app_size	app_lang	multihoming	paid	in_app_purchases	updates_per_month	elapsed_avg_days	avg_age_days
count	205.00	205.00	205.00	205.00	205.00	205.00	205.00	205.00
mean	78.98	6.67	0.24	0.05	0.62	0.74	1899.15	2004.15
std	92.43	9.40	0.43	0.22	0.49	1.36	1258.21	1258.21
min	0.71	1.00	0.00	0.00	0.00	0.00	28.00	133.00
25%	11.66	1.00	0.00	0.00	0.00	0.00	834.00	939.00
50%	43.91	2.00	0.00	0.00	1.00	0.00	1753.00	1858.00
75%	109.37	10.00	0.00	0.00	1.00	1.00	2841.00	2946.00
max	496.74	67.00	1.00	1.00	1.00	9.00	5253.00	5358.00
