ngram,frequency
"('note', 'taking')",79
"('privacy', 'policy')",73
"('mind', 'maps')",63
"('apple', 'pencil')",61
"('real', 'time')",57
"('mind', 'map')",50
"('end', 'current')",47
"('policy', 'https')",45
"('terms', 'use')",44
"('iphone', 'ipad')",43
"('easy', 'use')",40
"('itunes', 'account')",38
"('current', 'period')",37
"('hours', 'end')",35
"('take', 'notes')",34
"('mind', 'mapping')",33
"('least', 'hours')",31
"('notes', 'app')",31
"('handwritten', 'notes')",29
"('subscription', 'period')",28
"('use', 'https')",28
"('account', 'settings')",26
"('ipad', 'iphone')",26
"('undo', 'redo')",26
"('free', 'trial')",25
"('drag', 'drop')",24
"('subscription', 'automatically')",24
"('contact', 'us')",23
"('current', 'subscription')",23
"('share', 'notes')",21
"('sticky', 'notes')",21
"('terms', 'service')",21
"('share', 'friends')",20
"('within', 'hours')",20
"('across', 'devices')",19
"('service', 'https')",19
"('white', 'board')",19
"('account', 'charged')",18
"('auto', 'renewal')",18
"('dark', 'mode')",18
"('lynx', 'whiteboard')",18
"('automatically', 'renew')",17
"('capture', 'ideas')",17
"('cloud', 'storage')",17
"('friends', 'family')",17
"('hours', 'prior')",17
"('pdf', 'files')",17
"('prior', 'end')",17
"('settings', 'purchase')",17
"('anytime', 'anywhere')",16
"('app', 'store')",16
"('drawing', 'tools')",16
"('google', 'drive')",16
"('one', 'click')",16
"('organize', 'notes')",16
"('pen', 'paper')",16
"('renewal', 'within')",16
"('charged', 'itunes')",15
"('charged', 'renewal')",15
"('key', 'features')",15
"('purchase', 'subscription')",15
"('taking', 'app')",15
"('auto', 'renew')",14
"('confirmation', 'purchase')",14
"('icloud', 'sync')",14
"('infinite', 'canvas')",14
"('payment', 'charged')",14
"('share', 'ideas')",14
"('typed', 'text')",14
"('unless', 'auto')",14
"('whiteboard', 'app')",14
"('writing', 'experience')",14
"('account', 'confirmation')",13
"('copy', 'paste')",13
"('ipad', 'mac')",13
"('period', 'account')",13
"('terms', 'conditions')",13
"('trial', 'period')",13
"('turned', 'least')",13
"('apple', 'id')",12
"('background', 'color')",12
"('icloud', 'drive')",12
"('metamoji', 'note')",12
"('one', 'time')",12
"('privacy', 'terms')",12
"('renew', 'unless')",12
"('simple', 'easy')",12
"('social', 'media')",12
"('team', 'members')",12
"('add', 'images')",11
"('annotate', 'pdfs')",11
"('cancel', 'subscription')",11
"('collaborate', 'real')",11
"('dev', 'stdeula')",11
"('hand', 'drawn')",11
"('https', 'wwwapplecom')",11
"('internet', 'services')",11
"('itunes', 'dev')",11
"('legal', 'internet')",11
"('pdf', 'documents')",11
"('renews', 'unless')",11
"('save', 'drawings')",11
"('services', 'itunes')",11
"('shape', 'recognition')",11
"('taking', 'notes')",11
"('web', 'pages')",11
"('wwwapplecom', 'legal')",11
"('active', 'subscription')",10
"('automatically', 'renews')",10
"('create', 'notes')",10
"('drawing', 'app')",10
"('easily', 'create')",10
"('feel', 'free')",10
"('images', 'pdf')",10
"('ipad', 'pro')",10
"('may', 'vary')",10
"('mindmap', 'maker')",10
"('new', 'ideas')",10
"('notes', 'writer')",10
"('one', 'place')",10
"('organize', 'ideas')",10
"('policy', 'terms')",10
"('pro', 'version')",10
"('renew', 'turned')",10
"('skiff', 'pages')",10
"('text', 'boxes')",10
"('text', 'images')",10
"('unless', 'canceled')",10
"('write', 'notes')",10
"('yearly', 'subscription')",10
"('access', 'notes')",9
"('also', 'available')",9
"('anywhere', 'anytime')",9
"('app', 'designed')",9
"('board', 'app')",9
"('digital', 'notebook')",9
"('drawing', 'board')",9
"('export', 'pdf')",9
"('handwriting', 'recognition')",9
"('line', 'arrow')",9
"('main', 'features')",9
"('manage', 'notes')",9
"('notes', 'notebooks')",9
"('photos', 'library')",9
"('shapes', 'lines')",9
"('share', 'others')",9
"('side', 'side')",9
"('straight', 'line')",9
"('subscription', 'price')",9
"('sync', 'notes')",9
"('unused', 'portion')",9
"('view', 'edit')",9
"('whiteboard', 'drawing')",9
"('writing', 'drawing')",9
"('app', 'also')",8
"('app', 'purchase')",8
"('app', 'send')",8
"('audio', 'recordings')",8
"('automatic', 'renewal')",8
"('blank', 'paper')",8
"('camera', 'roll')",8
"('canceled', 'least')",8
"('change', 'background')",8
"('create', 'beautiful')",8
"('cross', 'platform')",8
"('draw', 'together')",8
"('easy', 'share')",8
"('export', 'notes')",8
"('fountain', 'pen')",8
"('gitmind', 'ai')",8
"('import', 'pdf')",8
"('let', 'us')",8
"('makes', 'easy')",8
"('mobile', 'device')",8
"('one', 'tap')",8
"('perfect', 'shapes')",8
"('plain', 'text')",8
"('please', 'rate')",8
"('portion', 'free')",8
"('record', 'audio')",8
"('sketch', 'ideas')",8
"('sync', 'across')",8
"('text', 'search')",8
"('time', 'collaboration')",8
"('turn', 'auto')",8
"('us', 'know')",8
"('use', 'app')",8
"('user', 'friendly')",8
"('virtual', 'whiteboard')",8
"('wide', 'range')",8
"('within', 'app')",8
"('app', 'helps')",7
"('cancellation', 'current')",7
"('color', 'palette')",7
"('conditions', 'https')",7
"('create', 'mind')",7
"('create', 'new')",7
"('digital', 'notes')",7
"('documents', 'notes')",7
"('download', 'use')",7
"('draw', 'shapes')",7
"('draw', 'write')",7
"('drawing', 'pad')",7
"('easily', 'share')",7
"('end', 'end')",7
"('features', 'draw')",7
"('font', 'size')",7
"('full', 'text')",7
"('handwriting', 'practice')",7
"('home', 'screen')",7
"('id', 'account')",7
"('images', 'pdfs')",7
"('import', 'photos')",7
"('insert', 'images')",7
"('ipad', 'apple')",7
"('jpg', 'png')",7
"('make', 'sure')",7
"('manage', 'subscriptions')",7
"('monthly', 'subscription')",7
"('monthly', 'yearly')",7
"('multiple', 'devices')",7
"('never', 'lose')",7
"('notes', 'add')",7
"('notes', 'create')",7
"('notes', 'even')",7
"('notes', 'use')",7
"('paper', 'templates')",7
"('pdf', 'file')",7
"('pdf', 'png')",7
"('pdf', 'text')",7
"('pen', 'line')",7
"('pencil', 'finger')",7
"('please', 'send')",7
"('please', 'share')",7
"('policy', 'http')",7
"('post', 'notes')",7
"('price', 'may')",7
"('send', 'drawing')",7
"('send', 'email')",7
"('subscription', 'allowed')",7
"('taking', 'experience')",7
"('together', 'share')",7
"('tools', 'colors')",7
"('touch', 'id')",7
"('use', 'notes')",7
"('vector', 'ink')",7
"('whitelines', 'app')",7
"('write', 'draw')",7
"('access', 'anywhere')",6
"('add', 'notes')",6
"('add', 'sticky')",6
"('airprint', 'enabled')",6
"('allowed', 'active')",6
"('allows', 'create')",6
"('annotate', 'fun')",6
"('anything', 'want')",6
"('app', 'kids')",6
"('arrow', 'rect')",6
"('audio', 'notes')",6
"('canvas', 'color')",6
"('capture', 'notes')",6
"('chalk', 'writing')",6
"('change', 'size')",6
"('collaborate', 'share')",6
"('color', 'import')",6
"('cost', 'renewal')",6
"('cut', 'copy')",6
"('data', 'security')",6
"('digital', 'paper')",6
"('digital', 'whiteboard')",6
"('distraction', 'free')",6
"('draw', 'perfect')",6
"('draw', 'send')",6
"('drawing', 'actions')",6
"('drawing', 'writing')",6
"('drawings', 'airprint')",6
"('drawings', 'photos')",6
"('drawings', 'questions')",6
"('edrawmind', 'mind')",6
"('ellipse', 'fill')",6
"('ellipse', 'stroke')",6
"('email', 'us')",6
"('enabled', 'printers')",6
"('end', 'encrypted')",6
"('everything', 'need')",6
"('explain', 'everything')",6
"('face', 'id')",6
"('facebook', 'twitter')",6
"('family', 'members')",6
"('file', 'system')",6
"('fill', 'ellipse')",6
"('fill', 'eraser')",6
"('generate', 'new')",6
"('get', 'started')",6
"('ideas', 'quickly')",6
"('images', 'photos')",6
"('invite', 'team')",6
"('know', 'use')",6
"('laser', 'pointer')",6
"('last', 'used')",6
"('library', 'print')",6
"('manage', 'subscription')",6
"('meeting', 'minutes')",6
"('meeting', 'notes')",6
"('mindmap', 'outline')",6
"('multi', 'device')",6
"('multiple', 'formats')",6
"('new', 'page')",6
"('notebooks', 'folders')",6
"('notes', 'ideas')",6
"('notes', 'images')",6
"('notes', 'sketches')",6
"('offline', 'mode')",6
"('one', 'app')",6
"('open', 'draw')",6
"('open', 'source')",6
"('paper', 'take')",6
"('pdf', 'support')",6
"('pen', 'highlighter')",6
"('people', 'find')",6
"('please', 'contact')",6
"('please', 'feel')",6
"('post', 'app')",6
