word,frequency
diary,872
app,813
journal,793
mood,680
daily,564
day,549
use,483
life,469
subscription,403
privacy,374
https,368
help,357
self,341
health,320
terms,320
journaling,318
time,312
entries,311
mental,300
account,287
features,272
track,263
free,261
write,253
make,248
thoughts,247
data,246
keep,244
emotions,243
one,239
policy,225
calendar,218
period,218
personal,215
notes,213
create,208
get,203
gratitude,202
add,198
easy,197
end,194
record,193
every,190
simple,190
private,176
current,175
purchase,173
also,172
auto,169
care,165
photos,164
tracker,164
renewal,163
hours,162
us,161
new,160
better,159
like,155
want,153
set,153
itunes,153
tasks,151
anxiety,151
memories,150
automatically,150
support,148
view,148
charged,146
writing,145
well,144
positive,141
reminders,141
may,139
start,139
emotional,138
feelings,137
lock,135
events,135
settings,134
take,134
therapy,133
using,133
habits,132
user,131
helps,130
see,130
feel,129
manage,127
improve,126
journey,126
premium,125
habit,124
year,124
questions,123
share,120
choose,119
month,119
designed,118
need,117
planner,117
stress,115
way,115
access,114
reflect,114
days,114
moments,113
insights,112
experience,111
trial,111
ai,110
activities,110
monthly,110
easily,110
cbt,109
goals,107
find,107
work,104
today,104
even,103
apple,102
prompts,100
patterns,99
important,99
understand,99
please,92
text,92
beautiful,92
people,92
tracking,91
read,91
subscriptions,89
list,89
learn,88
practice,88
mind,88
renew,88
note,88
within,87
best,86
service,86
least,86
makes,85
back,85
focus,84
allows,84
moods,84
turned,83
things,83
never,83
plan,83
unlimited,83
many,82
id,82
growth,82
week,81
unless,80
photo,80
love,79
device,79
icloud,79
screen,78
change,77
progress,77
password,77
mindfulness,76
journals,76
check,76
offers,75
backup,75
guided,74
search,74
sync,74
reflection,73
payment,72
different,72
based,72
safe,71
entry,71
users,71
depression,71
feature,71
powerful,70
secure,70
save,70
good,70
negative,70
build,70
design,69
world,69
always,69
themes,68
without,68
feedback,67
identify,67
past,65
personalized,65
capture,64
stickers,64
notifications,63
know,63
available,63
information,63
download,62
tools,62
secret,62
apps,62
statistics,61
weekly,61
exercises,61
look,60
organize,60
devices,60
routine,60
everything,59
log,59
try,58
friends,58
thought,58
going,58
sleep,58
unique,57
email,57
store,57
experiences,57
prior,57
passcode,57
export,56
mode,56
tags,56
discover,56
bullet,55
conditions,55
become,55
schedule,55
go,55
page,55
space,54
tool,54
digital,54
interface,54
companion,54
happiness,54
confirmation,53
multiple,53
happy,53
place,53
stay,53
touch,53
per,52
right,52
gain,52
renews,52
cognitive,52
skills,52
voice,52
full,51
color,51
provides,51
making,51
turn,51
remember,51
affirmations,51
minutes,50
unlock,50
used,50
stories,50
let,50
iphone,50
cancel,50
task,50
