ngram,frequency
"('diary', 'write')",12
"('every', 'moment')",12
"('everyday', 'life')",12
"('gain', 'insights')",12
"('google', 'drive')",12
"('healthy', 'habits')",12
"('local', 'currency')",12
"('may', 'converted')",12
"('minute', 'journal')",12
"('mood', 'patterns')",12
"('never', 'forget')",12
"('note', 'taking')",12
"('per', 'day')",12
"('per', 'year')",12
"('personal', 'journal')",12
"('photo', 'diary')",12
"('rich', 'text')",12
"('simple', 'diary')",12
"('take', 'notes')",12
"('time', 'purchase')",12
"('understand', 'emotions')",12
"('week', 'view')",12
"('anxiety', 'stress')",11
"('app', 'features')",11
"('app', 'helps')",11
"('audio', 'recordings')",11
"('automatically', 'renewed')",11
"('can', 'not')",11
"('check', 'ins')",11
"('countries', 'may')",11
"('data', 'backup')",11
"('dbt', 'skills')",11
"('diary', 'data')",11
"('email', 'us')",11
"('eula', 'https')",11
"('everything', 'need')",11
"('health', 'tracker')",11
"('help', 'improve')",11
"('help', 'keep')",11
"('journal', 'lock')",11
"('keeping', 'journal')",11
"('manage', 'cancel')",11
"('passcode', 'lock')",11
"('password', 'lock')",11
"('past', 'entries')",11
"('pink', 'piko')",11
"('planner', 'app')",11
"('questions', 'suggestions')",11
"('reach', 'us')",11
"('record', 'life')",11
"('self', 'help')",11
"('simple', 'easy')",11
"('stress', 'relief')",11
"('terms', 'https')",11
"('therapy', 'sessions')",11
"('things', 'life')",11
"('umbrella', 'journal')",11
"('unlimited', 'entries')",11
"('use', 'diary')",11
"('vary', 'actual')",11
"('active', 'subscription')",10
"('app', 'free')",10
"('app', 'offers')",10
"('brite', 'daily')",10
"('cancel', 'automatic')",10
"('capture', 'life')",10
"('daily', 'activities')",10
"('daily', 'prompts')",10
"('diary', 'application')",10
"('emotional', 'health')",10
"('emotional', 'state')",10
"('end', 'day')",10
"('export', 'pdf')",10
"('first', 'step')",10
"('free', 'use')",10
"('get', 'started')",10
"('good', 'things')",10
"('improve', 'sleep')",10
"('intuitive', 'interface')",10
"('journal', 'entry')",10
"('journey', 'self')",10
"('make', 'journaling')",10
"('may', 'manage')",10
"('mindshift', 'cbt')",10
"('never', 'miss')",10
"('new', 'skills')",10
"('one', 'day')",10
"('password', 'protection')",10
"('reminders', 'help')",10
"('self', 'talk')",10
"('set', 'goals')",10
"('simple', 'use')",10
"('step', 'towards')",10
"('stored', 'locally')",10
"('thought', 'diary')",10
"('thought', 'provoking')",10
"('unlimited', 'access')",10
"('us', 'support')",10
"('valuable', 'insights')",10
"('write', 'journal')",10
"('app', 'day')",9
"('app', 'provides')",9
"('app', 'use')",9
"('attach', 'photos')",9
"('daily', 'affirmations')",9
"('daily', 'events')",9
"('day', 'track')",9
"('diary', 'safe')",9
"('diary', 'simple')",9
"('evidence', 'based')",9
"('exercises', 'help')",9
"('features', 'daily')",9
"('feel', 'like')",9
"('five', 'minute')",9
"('get', 'know')",9
"('gratitude', 'diary')",9
"('guided', 'journals')",9
"('health', 'journal')",9
"('hours', 'current')",9
"('identify', 'patterns')",9
"('journal', 'also')",9
"('journal', 'prompts')",9
"('keep', 'private')",9
"('life', 'moments')",9
"('lock', 'diary')",9
"('long', 'term')",9
"('main', 'screen')",9
"('make', 'diary')",9
"('makes', 'happy')",9
"('manage', 'emotions')",9
"('mindful', 'minutes')",9
"('mood', 'calendar')",9
"('mood', 'chonk')",9
"('moods', 'activities')",9
"('new', 'habits')",9
"('period', 'ends')",9
"('privacy', 'security')",9
