word,frequency
app,3811
like,1380
use,1101
love,1067
freeform,832
apple,823
good,792
would,788
really,734
great,723
notes,686
make,666
draw,540
work,539
im,508
one,474
ipad,473
dont,455
also,450
get,447
much,445
drawing,439
please,429
using,426
add,416
could,414
time,413
things,409
cant,404
want,401
fun,400
even,360
lot,344
best,325
need,316
way,315
pencil,308
amazing,304
board,300
think,283
apps,283
better,280
boards,271
thing,267
doesnt,261
something,260
many,256
free,249
phone,242
tool,240
write,238
new,236
stuff,235
able,234
text,225
fix,224
anything,223
ive,222
easy,221
nice,219
tools,217
features,212
see,207
know,207
made,201
ever,200
needs,199
still,199
making,198
every,196
pen,195
feature,194
writing,193
shapes,192
update,191
different,188
well,187
wish,186
note,185
iphone,182
people,181
used,180
art,180
option,179
useful,179
recommend,178
create,176
cool,175
go,174
hope,174
game,170
everything,170
thank,169
first,164
zoom,159
screen,155
try,154
folders,153
put,153
pretty,153
ideas,152
makes,150
icloud,149
stars,149
pictures,148
however,145
options,143
move,142
sometimes,141
back,140
creative,140
find,138
share,136
canvas,135
works,135
without,134
lag,133
crashes,132
little,132
give,132
take,130
sync,129
working,129
hard,128
problem,126
color,125
change,125
keep,118
awesome,117
overall,116
got,116
keeps,116
laggy,116
mode,115
let,114
u,114
form,114
perfect,114
dark,114
open,113
thanks,112
drawings,112
taking,112
gets,112
trying,112
didnt,109
issue,109
photos,108
issues,108
download,108
pro,107
help,107
idea,106
bad,106
page,105
thats,105
images,104
projects,104
etc,103
devices,103
around,103
bit,103
tried,102
theres,101
missing,100
ios,100
pdf,100
