word,frequency
video,2217
videos,853
effects,702
subscription,580
music,572
app,545
add,493
photos,492
photo,449
create,443
editing,422
use,409
maker,373
filters,362
make,355
period,347
account,340
editor,331
free,323
features,298
share,282
terms,279
auto,272
https,259
purchase,255
privacy,253
text,241
end,235
renewal,235
current,233
instagram,220
hours,219
policy,218
charged,216
one,215
like,213
pro,209
time,206
easy,199
social,199
edit,188
color,182
status,182
user,180
itunes,180
effect,178
automatically,172
renew,171
camera,167
may,166
tools,161
media,159
choose,158
stickers,158
motion,154
settings,151
trial,149
speed,147
save,147
background,146
images,145
best,145
film,144
professional,143
easily,142
clips,141
us,138
get,136
subscriptions,136
select,136
templates,136
access,131
using,127
turned,127
want,125
support,124
content,124
quality,122
multiple,121
slideshow,119
adjust,119
movie,118
within,116
image,114
youtube,113
different,112
audio,112
new,111
slow,109
transitions,109
library,109
unless,109
turn,108
payment,108
premium,106
also,106
facebook,104
filter,104
http,103
least,101
style,98
collection,98
unlimited,98
ai,97
trim,96
creative,96
look,95
portion,91
unused,91
need,91
confirmation,90
special,89
prior,89
art,89
sound,89
high,88
apply,88
export,87
powerful,87
perfect,86
friends,85
unique,83
simple,82
fx,81
amazing,81
etc,81
fast,81
including,80
real,80
vintage,80
change,79
full,79
picture,78
love,78
iphone,78
frame,77
magic,77
beautiful,76
blur,76
birthday,75
crop,74
tiktok,74
available,74
tool,73
monthly,72
every,72
frames,72
fonts,72
going,72
presets,72
download,71
many,71
offered,71
animation,71
cut,70
cool,70
various,70
light,70
screen,69
forfeited,68
import,67
tap,66
story,65
merge,65
even,65
transition,64
start,64
year,64
way,64
contrast,63
lyrical,63
options,63
awesome,63
cost,62
per,62
right,62
watermark,62
collage,62
retro,61
manage,61
advanced,60
help,60
stunning,60
contact,59
hd,59
service,59
click,59
favorite,58
combine,58
purchases,58
enhance,58
selected,56
take,56
renews,56
song,56
managed,55
remove,55
life,55
supports,55
animated,55
adding,55
control,54
white,54
set,54
creating,53
please,53
plan,53
custom,53
world,53
fun,52
find,52
variety,52
button,52
live,52
month,52
short,51
split,51
voice,51
whatsapp,51
offers,50
pictures,50
apps,50
edits,50
aesthetic,50
making,50
