word,frequency
notes,661
app,350
use,324
create,238
ideas,234
note,229
text,225
subscription,212
share,203
pdf,186
mind,176
documents,170
features,163
paper,161
https,157
free,148
time,145
whiteboard,144
images,136
one,136
support,134
privacy,129
work,126
terms,123
account,122
ipad,121
add,118
write,116
draw,113
export,113
using,110
writing,109
files,108
new,107
like,103
apple,102
also,101
easy,101
organize,98
taking,94
sync,93
color,92
get,92
map,91
mode,91
drawing,90
us,89
automatically,88
maps,87
simple,87
pen,86
save,86
period,86
tool,85
shapes,85
pages,84
edit,84
take,83
end,83
import,82
content,82
canvas,81
devices,81
iphone,81
make,80
data,80
device,80
purchase,80
current,79
search,79
tools,79
pencil,79
policy,78
need,77
powerful,76
thoughts,76
digital,75
document,75
cloud,73
page,72
pro,72
icloud,71
easily,71
access,70
experience,69
hours,69
capture,68
help,67
real,66
view,65
web,65
team,64
image,64
multiple,63
unlimited,63
auto,62
itunes,62
pdfs,62
even,61
anywhere,61
collaborate,60
quickly,59
open,59
want,58
tasks,58
renewal,58
way,58
please,58
available,58
screen,58
audio,57
charged,57
etc,56
including,56
notebooks,56
sketch,56
collaboration,56
sharing,56
different,56
notebook,56
full,55
manage,55
service,55
email,54
others,53
across,53
without,52
handwriting,52
settings,52
information,52
markdown,51
choose,51
find,51
projects,51
