app_id,unified_app_id,app_name,app_category,worldwide_release,initial_release,app_size,app_lang,multihoming,paid,in_app_purchases,updates_per_month,function_updates_per_month,time_dummy_1,time_dummy_2,time_dummy_3,time_dummy_4,time_dummy_5,time_dummy_6,time_dummy_7,time_dummy_8,month_indicator,affected,after_entry,elapsed_avg_days,avg_age_days,app_unique,month_unique,log_avg_age_days,log_updates_per_month,log_elapsed_avg_days
1212999482,0,3 Good Things self care diary,Health and Fitness,2018-10-27,2018-10-26,33.32,1,0,0,1,0,0,0,0,0,0,0,0,1,0,month_7,1,1,1901,1826.0,1212999482,month_7,7.509883061154913,0.0,7.550135342488429
1212999482,0,3 Good Things self care diary,Health and Fitness,2018-10-27,2018-10-26,33.32,1,0,0,1,0,0,0,0,0,0,0,0,0,1,month_8,1,1,1931,1826.0,1212999482,month_8,7.509883061154913,0.0,7.565793282428515
1062945251,1000600000532374,5 Minute Journal Self Care,Health and Fitness,2016-03-22,2016-03-22,95.99,1,1,0,1,2,0,1,0,0,0,0,0,0,0,month_1,1,0,2669,2774.0,1062945251,month_1,7.928045600874777,1.098612,7.889459149404524
1062945251,1000600000532374,5 Minute Journal Self Care,Health and Fitness,2016-03-22,2016-03-22,95.99,1,1,0,1,3,0,0,1,0,0,0,0,0,0,month_2,1,0,2699,2774.0,1062945251,month_2,7.928045600874777,1.386294,7.900636613018005
1062945251,1000600000532374,5 Minute Journal Self Care,Health and Fitness,2016-03-22,2016-03-22,95.99,1,1,0,1,3,0,0,0,1,0,0,0,0,0,month_3,1,0,2729,2774.0,1062945251,month_3,7.928045600874777,1.386294,7.911690520708339
1062945251,1000600000532374,5 Minute Journal Self Care,Health and Fitness,2016-03-22,2016-03-22,95.99,1,1,0,1,2,0,0,0,0,1,0,0,0,0,month_4,1,0,2759,2774.0,1062945251,month_4,7.928045600874777,1.098612,7.922623574217286
1062945251,1000600000532374,5 Minute Journal Self Care,Health and Fitness,2016-03-22,2016-03-22,95.99,1,1,0,1,6,0,0,0,0,0,1,0,0,0,month_5,1,1,2789,2774.0,1062945251,month_5,7.928045600874777,1.94591,7.933438387627489
1062945251,1000600000532374,5 Minute Journal Self Care,Health and Fitness,2016-03-22,2016-03-22,95.99,1,1,0,1,3,0,0,0,0,0,0,1,0,0,month_6,1,1,2819,2774.0,1062945251,month_6,7.928045600874777,1.386294,7.9441374911141125
1062945251,1000600000532374,5 Minute Journal Self Care,Health and Fitness,2016-03-22,2016-03-22,95.99,1,1,0,1,2,0,0,0,0,0,0,0,1,0,month_7,1,1,2849,2774.0,1062945251,month_7,7.928045600874777,1.098612,7.954723334497908
1062945251,1000600000532374,5 Minute Journal Self Care,Health and Fitness,2016-03-22,2016-03-22,95.99,1,1,0,1,2,0,0,0,0,0,0,0,0,1,month_8,1,1,2879,2774.0,1062945251,month_8,7.928045600874777,1.098612,7.965198290612176
1659288235,0,A Journal A Day,Health and Fitness,2023-01-22,2023-01-22,8.54,1,0,0,0,0,0,1,0,0,0,0,0,0,0,month_1,1,0,172,277.0,1659288235,month_1,5.6240175061873385,0.0,5.147494476813453
1659288235,0,A Journal A Day,Health and Fitness,2023-01-22,2023-01-22,8.54,1,0,0,0,0,0,0,1,0,0,0,0,0,0,month_2,1,0,202,277.0,1659288235,month_2,5.6240175061873385,0.0,5.308267697401205
1659288235,0,A Journal A Day,Health and Fitness,2023-01-22,2023-01-22,8.54,1,0,0,0,0,0,0,0,1,0,0,0,0,0,month_3,1,0,232,277.0,1659288235,month_3,5.6240175061873385,0.0,5.44673737166631
1659288235,0,A Journal A Day,Health and Fitness,2023-01-22,2023-01-22,8.54,1,0,0,0,0,0,0,0,0,1,0,0,0,0,month_4,1,0,262,277.0,1659288235,month_4,5.6240175061873385,0.0,5.568344503761097
1659288235,0,A Journal A Day,Health and Fitness,2023-01-22,2023-01-22,8.54,1,0,0,0,0,0,0,0,0,0,1,0,0,0,month_5,1,1,292,277.0,1659288235,month_5,5.6240175061873385,0.0,5.676753802268282
1659288235,0,A Journal A Day,Health and Fitness,2023-01-22,2023-01-22,8.54,1,0,0,0,0,0,0,0,0,0,0,1,0,0,month_6,1,1,322,277.0,1659288235,month_6,5.6240175061873385,0.0,5.7745515455444085
1659288235,0,A Journal A Day,Health and Fitness,2023-01-22,2023-01-22,8.54,1,0,0,0,0,0,0,0,0,0,0,0,1,0,month_7,1,1,352,277.0,1659288235,month_7,5.6240175061873385,0.0,5.863631175598097
1659288235,0,A Journal A Day,Health and Fitness,2023-01-22,2023-01-22,8.54,1,0,0,0,0,0,0,0,0,0,0,0,0,1,month_8,1,1,382,277.0,1659288235,month_8,5.6240175061873385,0.0,5.945420608606575
1449444733,0,ACT iCoach,Health and Fitness,2019-05-05,2019-05-05,58.62,1,0,0,1,0,0,1,0,0,0,0,0,0,0,month_1,1,0,1530,1635.0,1449444733,month_1,7.399398083331354,0.0,7.333023014386481
1449444733,0,ACT iCoach,Health and Fitness,2019-05-05,2019-05-05,58.62,1,0,0,1,0,0,0,1,0,0,0,0,0,0,month_2,1,0,1560,1635.0,1449444733,month_2,7.399398083331354,0.0,7.352441100243583
1449444733,0,ACT iCoach,Health and Fitness,2019-05-05,2019-05-05,58.62,1,0,0,1,0,0,0,0,1,0,0,0,0,0,month_3,1,0,1590,1635.0,1449444733,month_3,7.399398083331354,0.0,7.371489295214277
1449444733,0,ACT iCoach,Health and Fitness,2019-05-05,2019-05-05,58.62,1,0,0,1,0,0,0,0,0,1,0,0,0,0,month_4,1,0,1620,1635.0,1449444733,month_4,7.399398083331354,0.0,7.3901814282264295
1449444733,0,ACT iCoach,Health and Fitness,2019-05-05,2019-05-05,58.62,1,0,0,1,0,0,0,0,0,0,1,0,0,0,month_5,1,1,1650,1635.0,1449444733,month_5,7.399398083331354,0.0,7.408530566894626
1449444733,0,ACT iCoach,Health and Fitness,2019-05-05,2019-05-05,58.62,1,0,0,1,0,0,0,0,0,0,0,1,0,0,month_6,1,1,1680,1635.0,1449444733,month_6,7.399398083331354,0.0,7.426549072397305
1449444733,0,ACT iCoach,Health and Fitness,2019-05-05,2019-05-05,58.62,1,0,0,1,0,0,0,0,0,0,0,0,1,0,month_7,1,1,1710,1635.0,1449444733,month_7,7.399398083331354,0.0,7.444248649496705
1449444733,0,ACT iCoach,Health and Fitness,2019-05-05,2019-05-05,58.62,1,0,0,1,0,0,0,0,0,0,0,0,0,1,month_8,1,1,1740,1635.0,1449444733,month_8,7.399398083331354,0.0,7.461640392208575
1522673230,0,After Cloud Moments,Lifestyle,2020-10-09,2020-10-09,26.38,1,0,0,0,0,0,1,0,0,0,0,0,0,0,month_1,1,0,1007,1112.0,1522673230,month_1,7.013915474810528,0.0,6.914730892718563
1522673230,0,After Cloud Moments,Lifestyle,2020-10-09,2020-10-09,26.38,1,0,0,0,0,0,0,1,0,0,0,0,0,0,month_2,1,0,1037,1112.0,1522673230,month_2,7.013915474810528,0.0,6.9440872082295275
1522673230,0,After Cloud Moments,Lifestyle,2020-10-09,2020-10-09,26.38,1,0,0,0,0,0,0,0,1,0,0,0,0,0,month_3,1,0,1067,1112.0,1522673230,month_3,7.013915474810528,0.0,6.9726062513017535
1522673230,0,After Cloud Moments,Lifestyle,2020-10-09,2020-10-09,26.38,1,0,0,0,0,0,0,0,0,1,0,0,0,0,month_4,1,0,1097,1112.0,1522673230,month_4,7.013915474810528,0.0,7.00033446027523
1522673230,0,After Cloud Moments,Lifestyle,2020-10-09,2020-10-09,26.38,1,0,0,0,0,0,0,0,0,0,1,0,0,0,month_5,1,1,1127,1112.0,1522673230,month_5,7.013915474810528,0.0,7.027314514039777
1522673230,0,After Cloud Moments,Lifestyle,2020-10-09,2020-10-09,26.38,1,0,0,0,0,0,0,0,0,0,0,1,0,0,month_6,1,1,1157,1112.0,1522673230,month_6,7.013915474810528,0.0,7.053585727193677
1522673230,0,After Cloud Moments,Lifestyle,2020-10-09,2020-10-09,26.38,1,0,0,0,0,0,0,0,0,0,0,0,1,0,month_7,1,1,1187,1112.0,1522673230,month_7,7.013915474810528,0.0,7.079184394609668
1522673230,0,After Cloud Moments,Lifestyle,2020-10-09,2020-10-09,26.38,1,0,0,0,0,0,0,0,0,0,0,0,0,1,month_8,1,1,1217,1112.0,1522673230,month_8,7.013915474810528,0.0,7.104144092987527
1589805870,0,After Cloud Timelines,Lifestyle,2021-10-28,2021-10-28,16.47,1,0,0,0,0,0,1,0,0,0,0,0,0,0,month_1,1,0,623,728.0,1589805870,month_1,6.590301048196686,0.0,6.434546518787453
1589805870,0,After Cloud Timelines,Lifestyle,2021-10-28,2021-10-28,16.47,1,0,0,0,1,0,0,1,0,0,0,0,0,0,month_2,1,0,653,728.0,1589805870,month_2,6.590301048196686,0.693147,6.481577129276431
1589805870,0,After Cloud Timelines,Lifestyle,2021-10-28,2021-10-28,16.47,1,0,0,0,0,0,0,0,1,0,0,0,0,0,month_3,1,0,683,728.0,1589805870,month_3,6.590301048196686,0.0,6.52649485957079
1589805870,0,After Cloud Timelines,Lifestyle,2021-10-28,2021-10-28,16.47,1,0,0,0,0,0,0,0,0,1,0,0,0,0,month_4,1,0,713,728.0,1589805870,month_4,6.590301048196686,0.0,6.569481420414296
1589805870,0,After Cloud Timelines,Lifestyle,2021-10-28,2021-10-28,16.47,1,0,0,0,0,0,0,0,0,0,1,0,0,0,month_5,1,1,743,728.0,1589805870,month_5,6.590301048196686,0.0,6.610696044717759
1589805870,0,After Cloud Timelines,Lifestyle,2021-10-28,2021-10-28,16.47,1,0,0,0,0,0,0,0,0,0,0,1,0,0,month_6,1,1,773,728.0,1589805870,month_6,6.590301048196686,0.0,6.650279048587422
1589805870,0,After Cloud Timelines,Lifestyle,2021-10-28,2021-10-28,16.47,1,0,0,0,0,0,0,0,0,0,0,0,1,0,month_7,1,1,803,728.0,1589805870,month_7,6.590301048196686,0.0,6.688354713946762
1589805870,0,After Cloud Timelines,Lifestyle,2021-10-28,2021-10-28,16.47,1,0,0,0,0,0,0,0,0,0,0,0,0,1,month_8,1,1,833,728.0,1589805870,month_8,6.590301048196686,0.0,6.725033642166843
1570430177,0,Ahead Emotions Coach,Health and Fitness,2021-10-11,2021-09-01,91.26,1,0,0,1,1,0,1,0,0,0,0,0,0,0,month_1,1,0,671,776.0,1570430177,month_1,6.654152520183219,0.693147,6.508769136971682
1570430177,0,Ahead Emotions Coach,Health and Fitness,2021-10-11,2021-09-01,91.26,1,0,0,1,3,0,0,1,0,0,0,0,0,0,month_2,1,0,701,776.0,1570430177,month_2,6.654152520183219,1.386294,6.55250788703459
1570430177,0,Ahead Emotions Coach,Health and Fitness,2021-10-11,2021-09-01,91.26,1,0,0,1,2,0,0,0,1,0,0,0,0,0,month_3,1,0,731,776.0,1570430177,month_3,6.654152520183219,1.098612,6.594413459749778
1570430177,0,Ahead Emotions Coach,Health and Fitness,2021-10-11,2021-09-01,91.26,1,0,0,1,4,0,0,0,0,1,0,0,0,0,month_4,1,0,761,776.0,1570430177,month_4,6.654152520183219,1.609438,6.634633357861686
1570430177,0,Ahead Emotions Coach,Health and Fitness,2021-10-11,2021-09-01,91.26,1,0,0,1,2,0,0,0,0,0,1,0,0,0,month_5,1,1,791,776.0,1570430177,month_5,6.654152520183219,1.098612,6.673297967767654
1570430177,0,Ahead Emotions Coach,Health and Fitness,2021-10-11,2021-09-01,91.26,1,0,0,1,3,0,0,0,0,0,0,1,0,0,month_6,1,1,821,776.0,1570430177,month_6,6.654152520183219,1.386294,6.710523109452428
1570430177,0,Ahead Emotions Coach,Health and Fitness,2021-10-11,2021-09-01,91.26,1,0,0,1,1,0,0,0,0,0,0,0,1,0,month_7,1,1,851,776.0,1570430177,month_7,6.654152520183219,0.693147,6.7464121285733745
1570430177,0,Ahead Emotions Coach,Health and Fitness,2021-10-11,2021-09-01,91.26,1,0,0,1,2,0,0,0,0,0,0,0,0,1,month_8,1,1,881,776.0,1570430177,month_8,6.654152520183219,1.098612,6.78105762593618
1594064594,0,AJournal A Journal Planner,Lifestyle,2021-12-16,2021-12-16,81.9,13,0,0,1,0,0,1,0,0,0,0,0,0,0,month_1,1,0,574,679.0,1594064594,month_1,6.520621127558696,0.0,6.352629396319567
1594064594,0,AJournal A Journal Planner,Lifestyle,2021-12-16,2021-12-16,81.9,13,0,0,1,0,0,0,1,0,0,0,0,0,0,month_2,1,0,604,679.0,1594064594,month_2,6.520621127558696,0.0,6.403574197934815
1594064594,0,AJournal A Journal Planner,Lifestyle,2021-12-16,2021-12-16,81.9,13,0,0,1,1,0,0,0,1,0,0,0,0,0,month_3,1,0,634,679.0,1594064594,month_3,6.520621127558696,0.693147,6.452048954437226
1594064594,0,AJournal A Journal Planner,Lifestyle,2021-12-16,2021-12-16,81.9,13,0,0,1,0,0,0,0,0,1,0,0,0,0,month_4,1,0,664,679.0,1594064594,month_4,6.520621127558696,0.0,6.498282149476434
1594064594,0,AJournal A Journal Planner,Lifestyle,2021-12-16,2021-12-16,81.9,13,0,0,1,1,0,0,0,0,0,1,0,0,0,month_5,1,1,694,679.0,1594064594,month_5,6.520621127558696,0.693147,6.542471960506805
1594064594,0,AJournal A Journal Planner,Lifestyle,2021-12-16,2021-12-16,81.9,13,0,0,1,1,0,0,0,0,0,0,1,0,0,month_6,1,1,724,679.0,1594064594,month_6,6.520621127558696,0.693147,6.584791392385716
1594064594,0,AJournal A Journal Planner,Lifestyle,2021-12-16,2021-12-16,81.9,13,0,0,1,1,0,0,0,0,0,0,0,1,0,month_7,1,1,754,679.0,1594064594,month_7,6.520621127558696,0.693147,6.625392368007956
1594064594,0,AJournal A Journal Planner,Lifestyle,2021-12-16,2021-12-16,81.9,13,0,0,1,1,0,0,0,0,0,0,0,0,1,month_8,1,1,784,679.0,1594064594,month_8,6.520621127558696,0.693147,6.664409020350408
1439590239,1000600000810270,Alan Mind Daily Journal,Health and Fitness,2019-03-05,2019-01-15,111.42,2,1,0,0,5,0,1,0,0,0,0,0,0,0,month_1,1,0,1590,1695.0,1439590239,month_1,7.43543801981455,1.791759,7.371489295214277
1439590239,1000600000810270,Alan Mind Daily Journal,Health and Fitness,2019-03-05,2019-01-15,111.42,2,1,0,0,3,0,0,1,0,0,0,0,0,0,month_2,1,0,1620,1695.0,1439590239,month_2,7.43543801981455,1.386294,7.3901814282264295
1439590239,1000600000810270,Alan Mind Daily Journal,Health and Fitness,2019-03-05,2019-01-15,111.42,2,1,0,0,2,0,0,0,1,0,0,0,0,0,month_3,1,0,1650,1695.0,1439590239,month_3,7.43543801981455,1.098612,7.408530566894626
1439590239,1000600000810270,Alan Mind Daily Journal,Health and Fitness,2019-03-05,2019-01-15,111.42,2,1,0,0,3,0,0,0,0,1,0,0,0,0,month_4,1,0,1680,1695.0,1439590239,month_4,7.43543801981455,1.386294,7.426549072397305
1439590239,1000600000810270,Alan Mind Daily Journal,Health and Fitness,2019-03-05,2019-01-15,111.42,2,1,0,0,3,0,0,0,0,0,1,0,0,0,month_5,1,1,1710,1695.0,1439590239,month_5,7.43543801981455,1.386294,7.444248649496705
1439590239,1000600000810270,Alan Mind Daily Journal,Health and Fitness,2019-03-05,2019-01-15,111.42,2,1,0,0,1,0,0,0,0,0,0,1,0,0,month_6,1,1,1740,1695.0,1439590239,month_6,7.43543801981455,0.693147,7.461640392208575
1439590239,1000600000810270,Alan Mind Daily Journal,Health and Fitness,2019-03-05,2019-01-15,111.42,2,1,0,0,2,0,0,0,0,0,0,0,1,0,month_7,1,1,1770,1695.0,1439590239,month_7,7.43543801981455,1.098612,7.478734825567875
1439590239,1000600000810270,Alan Mind Daily Journal,Health and Fitness,2019-03-05,2019-01-15,111.42,2,1,0,0,0,0,0,0,0,0,0,0,0,1,month_8,1,1,1800,1695.0,1439590239,month_8,7.43543801981455,0.0,7.495541943884256
1318382054,0,Aloe Bud,Health and Fitness,2018-04-25,2018-04-25,20.07,1,0,0,1,2,0,1,0,0,0,0,0,0,0,month_1,1,0,1905,2010.0,1318382054,month_1,7.605890001053122,1.098612,7.552237287560802
1318382054,0,Aloe Bud,Health and Fitness,2018-04-25,2018-04-25,20.07,1,0,0,1,1,0,0,1,0,0,0,0,0,0,month_2,1,0,1935,2010.0,1318382054,month_2,7.605890001053122,0.693147,7.5678626054638825
