ngram,frequency
"('support', 'ukrainian', 'support', 'ukrainian')",223
"('ukrainian', 'support', 'ukrainian', 'support')",222
"('star', 'star', 'star', 'star')",23
"('please', 'add', 'ukrainian', 'language')",19
"('please', 'add', 'hindi', 'language')",16
"('use', 'google', 'translate', 'instead')",10
"('app', 'ive', 'ever', 'used')",8
"('please', 'add', 'uzbek', 'language')",8
"('google', 'translate', 'much', 'better')",7
"('please', 'add', 'persian', 'language')",7
"('spanish', 'english', 'english', 'spanish')",7
"('add', 'uzbek', 'language', 'please')",6
"('bad', 'bad', 'bad', 'bad')",6
"('google', 'translate', 'way', 'better')",6
"('language', 'please', 'add', 'uzbek')",6
"('please', 'add', 'indian', 'languages')",6
"('please', 'add', 'urdu', 'language')",6
"('uzbek', 'language', 'please', 'add')",6
"('language', 'apple', 'translate', 'app')",5
"('languages', 'like', 'google', 'translate')",5
"('put', 'turkish', 'language', 'support')",5
"('switch', 'back', 'forth', 'languages')",5
