ngram,frequency
"('doesnt', 'work')",100
"('please', 'add')",55
"('hindi', 'language')",54
"('thai', 'language')",44
"('google', 'translate')",43
"('indian', 'languages')",43
"('ukrainian', 'language')",38
"('language', 'support')",37
"('add', 'languages')",33
"('turkish', 'language')",33
"('indian', 'language')",27
"('needs', 'languages')",26
"('app', 'ever')",24
"('worst', 'app')",24
"('add', 'hindi')",23
"('add', 'language')",23
"('traditional', 'chinese')",19
"('greek', 'language')",18
"('urdu', 'language')",18
"('add', 'indian')",17
"('good', 'app')",17
"('translate', 'app')",17
"('translation', 'app')",16
"('enough', 'languages')",15
"('need', 'languages')",14
"('needs', 'work')",14
"('add', 'urdu')",13
"('app', 'doesnt')",13
"('bad', 'app')",13
"('download', 'languages')",13
"('useless', 'app')",13
"('great', 'app')",12
"('many', 'languages')",12
"('can', 'not')",11
"('cant', 'translate')",11
"('doesnt', 'support')",11
"('terrible', 'app')",11
"('user', 'friendly')",11
"('language', 'available')",10
"('language', 'missing')",10
"('missing', 'languages')",10
"('polish', 'language')",10
"('tamil', 'language')",10
"('translate', 'better')",10
"('cant', 'download')",9
"('cant', 'use')",9
"('language', 'supported')",9
"('offline', 'mode')",9
"('stopped', 'working')",9
"('waste', 'time')",9
"('working', 'ios')",9
"('add', 'ukrainian')",8
"('app', 'working')",8
"('better', 'google')",8
"('completely', 'useless')",8
"('copy', 'button')",8
"('could', 'better')",8
"('dont', 'work')",8
"('good', 'enough')",8
"('language', 'please')",8
"('languages', 'available')",8
"('languages', 'like')",8
"('translator', 'app')",8
"('work', 'offline')",8
"('worst', 'translator')",8
"('add', 'thai')",7
"('app', 'work')",7
"('bengali', 'language')",7
"('best', 'app')",7
"('download', 'language')",7
"('horrible', 'app')",7
"('language', 'translation')",7
"('limited', 'language')",7
"('limited', 'languages')",7
"('never', 'works')",7
"('offline', 'translation')",7
"('persian', 'language')",7
"('switch', 'language')",7
"('turkish', 'support')",7
"('app', 'apple')",6
"('app', 'needs')",6
"('bad', 'bad')",6
"('bahasa', 'indonesia')",6
"('cant', 'even')",6
"('czech', 'language')",6
"('doesnt', 'even')",6
"('dutch', 'language')",6
"('language', 'options')",6
"('need', 'add')",6
"('need', 'ukrainian')",6
"('need', 'vietnamese')",6
"('needs', 'improvement')",6
"('please', 'fix')",6
"('pro', 'max')",6
"('simplified', 'chinese')",6
"('support', 'ukrainian')",6
"('vietnamese', 'language')",6
"('works', 'well')",6
"('worst', 'translation')",6
"('wrong', 'translation')",6
"('add', 'new')",5
"('add', 'persian')",5
"('app', 'good')",5
"('apple', 'app')",5
"('apple', 'translate')",5
"('bad', 'ux')",5
"('copy', 'paste')",5
"('doesnt', 'translate')",5
"('dont', 'know')",5
"('download', 'offline')",5
"('even', 'work')",5
"('indonesia', 'language')",5
"('lack', 'languages')",5
"('language', 'option')",5
"('languages', 'missing')",5
"('love', 'app')",5
"('need', 'language')",5
"('original', 'language')",5
"('pretty', 'bad')",5
"('really', 'bad')",5
"('supported', 'languages')",5
"('ukraine', 'language')",5
"('worst', 'translate')",5
