app_id,unified_app_id,app_name,app_category,worldwide_release,initial_release,app_size,app_lang,multihoming,paid,in_app_purchases,updates_per_month,function_updates_per_month,time_dummy_1,time_dummy_2,time_dummy_3,time_dummy_4,time_dummy_5,time_dummy_6,time_dummy_7,time_dummy_8,month_indicator,affected,after_entry,elapsed_avg_days,avg_age_days
1420836996,0,2U.Chat Make Foreign Friends,Social Networking,2018-08-16,2018-08-15,207.05,23,0,0,0,1,0,1,0,0,0,0,0,0,0,month_1,0,0,1793,1898.0
1420836996,0,2U.Chat Make Foreign Friends,Social Networking,2018-08-16,2018-08-15,207.05,23,0,0,0,0,0,0,1,0,0,0,0,0,0,month_2,0,0,1823,1898.0
1420836996,0,2U.Chat Make Foreign Friends,Social Networking,2018-08-16,2018-08-15,207.05,23,0,0,0,0,0,0,0,1,0,0,0,0,0,month_3,0,0,1853,1898.0
1420836996,0,2U.Chat Make Foreign Friends,Social Networking,2018-08-16,2018-08-15,207.05,23,0,0,0,1,0,0,0,0,1,0,0,0,0,month_4,0,0,1883,1898.0
1420836996,0,2U.Chat Make Foreign Friends,Social Networking,2018-08-16,2018-08-15,207.05,23,0,0,0,1,0,0,0,0,0,1,0,0,0,month_5,0,1,1913,1898.0
1420836996,0,2U.Chat Make Foreign Friends,Social Networking,2018-08-16,2018-08-15,207.05,23,0,0,0,2,0,0,0,0,0,0,1,0,0,month_6,0,1,1943,1898.0
1420836996,0,2U.Chat Make Foreign Friends,Social Networking,2018-08-16,2018-08-15,207.05,23,0,0,0,1,0,0,0,0,0,0,0,1,0,month_7,0,1,1973,1898.0
1420836996,0,2U.Chat Make Foreign Friends,Social Networking,2018-08-16,2018-08-15,207.05,23,0,0,0,1,0,0,0,0,0,0,0,0,1,month_8,0,1,2003,1898.0
1481921442,0,68 Messenger,Social Networking,2019-10-04,2019-10-04,150.64,5,0,0,0,0,0,1,0,0,0,0,0,0,0,month_1,0,0,1377,1482.0
1481921442,0,68 Messenger,Social Networking,2019-10-04,2019-10-04,150.64,5,0,0,0,2,0,0,1,0,0,0,0,0,0,month_2,0,0,1407,1482.0
1481921442,0,68 Messenger,Social Networking,2019-10-04,2019-10-04,150.64,5,0,0,0,3,0,0,0,1,0,0,0,0,0,month_3,0,0,1437,1482.0
1481921442,0,68 Messenger,Social Networking,2019-10-04,2019-10-04,150.64,5,0,0,0,2,0,0,0,0,1,0,0,0,0,month_4,0,0,1467,1482.0
1481921442,0,68 Messenger,Social Networking,2019-10-04,2019-10-04,150.64,5,0,0,0,1,0,0,0,0,0,1,0,0,0,month_5,0,1,1497,1482.0
1481921442,0,68 Messenger,Social Networking,2019-10-04,2019-10-04,150.64,5,0,0,0,1,0,0,0,0,0,0,1,0,0,month_6,0,1,1527,1482.0
1481921442,0,68 Messenger,Social Networking,2019-10-04,2019-10-04,150.64,5,0,0,0,2,0,0,0,0,0,0,0,1,0,month_7,0,1,1557,1482.0
1481921442,0,68 Messenger,Social Networking,2019-10-04,2019-10-04,150.64,5,0,0,0,1,0,0,0,0,0,0,0,0,1,month_8,0,1,1587,1482.0
1594154195,0,7Hz Live Voice Chat Room,Social Networking,2021-12-27,2021-12-23,97.55,2,0,0,1,0,0,1,0,0,0,0,0,0,0,month_1,0,0,566,671.0
1594154195,0,7Hz Live Voice Chat Room,Social Networking,2021-12-27,2021-12-23,97.55,2,0,0,1,0,0,0,1,0,0,0,0,0,0,month_2,0,0,596,671.0
1594154195,0,7Hz Live Voice Chat Room,Social Networking,2021-12-27,2021-12-23,97.55,2,0,0,1,1,0,0,0,1,0,0,0,0,0,month_3,0,0,626,671.0
1594154195,0,7Hz Live Voice Chat Room,Social Networking,2021-12-27,2021-12-23,97.55,2,0,0,1,1,0,0,0,0,1,0,0,0,0,month_4,0,0,656,671.0
1594154195,0,7Hz Live Voice Chat Room,Social Networking,2021-12-27,2021-12-23,97.55,2,0,0,1,2,0,0,0,0,0,1,0,0,0,month_5,0,1,686,671.0
1594154195,0,7Hz Live Voice Chat Room,Social Networking,2021-12-27,2021-12-23,97.55,2,0,0,1,1,0,0,0,0,0,0,1,0,0,month_6,0,1,716,671.0
1594154195,0,7Hz Live Voice Chat Room,Social Networking,2021-12-27,2021-12-23,97.55,2,0,0,1,0,0,0,0,0,0,0,0,1,0,month_7,0,1,746,671.0
1594154195,0,7Hz Live Voice Chat Room,Social Networking,2021-12-27,2021-12-23,97.55,2,0,0,1,0,0,0,0,0,0,0,0,0,1,month_8,0,1,776,671.0
1330573586,0,9chat Private Messenger,Social Networking,2018-01-12,2018-01-12,86.4,1,0,0,0,0,0,1,0,0,0,0,0,0,0,month_1,0,0,2008,2113.0
1330573586,0,9chat Private Messenger,Social Networking,2018-01-12,2018-01-12,86.4,1,0,0,0,0,0,0,1,0,0,0,0,0,0,month_2,0,0,2038,2113.0
1330573586,0,9chat Private Messenger,Social Networking,2018-01-12,2018-01-12,86.4,1,0,0,0,1,0,0,0,1,0,0,0,0,0,month_3,0,0,2068,2113.0
1330573586,0,9chat Private Messenger,Social Networking,2018-01-12,2018-01-12,86.4,1,0,0,0,0,0,0,0,0,1,0,0,0,0,month_4,0,0,2098,2113.0
1330573586,0,9chat Private Messenger,Social Networking,2018-01-12,2018-01-12,86.4,1,0,0,0,0,0,0,0,0,0,1,0,0,0,month_5,0,1,2128,2113.0
1330573586,0,9chat Private Messenger,Social Networking,2018-01-12,2018-01-12,86.4,1,0,0,0,0,0,0,0,0,0,0,1,0,0,month_6,0,1,2158,2113.0
