ngram,frequency
"('day', 'would')",10
"('digital', 'journal')",10
"('enjoying', 'app')",10
"('first', 'time')",10
"('great', 'way')",10
"('however', 'would')",10
"('im', 'going')",10
"('im', 'looking')",10
"('im', 'trying')",10
"('im', 'writing')",10
"('ipad', 'please')",10
"('ipad', 'support')",10
"('like', 'search')",10
"('lock', 'app')",10
"('love', 'apple')",10
"('love', 'simplicity')",10
"('love', 'use')",10
"('make', 'journal')",10
"('many', 'features')",10
"('missing', 'features')",10
"('need', 'ipad')",10
"('needs', 'work')",10
"('nice', 'able')",10
"('one', 'entry')",10
"('organize', 'entries')",10
"('really', 'want')",10
"('simple', 'easy')",10
"('simplicity', 'app')",10
"('thanks', 'apple')",10
"('thing', 'would')",10
"('use', 'would')",10
"('want', 'see')",10
"('would', 'allow')",10
"('would', 'awesome')",10
"('would', 'want')",10
"('able', 'create')",9
"('able', 'share')",9
"('add', 'ability')",9
"('add', 'photo')",9
"('app', 'add')",9
"('app', 'best')",9
"('app', 'excited')",9
"('app', 'hope')",9
"('app', 'keeps')",9
"('app', 'want')",9
"('apple', 'ecosystem')",9
"('apple', 'please')",9
"('bare', 'bones')",9
"('cant', 'find')",9
"('cant', 'use')",9
"('continue', 'use')",9
"('cool', 'app')",9
"('could', 'change')",9
"('delete', 'app')",9
"('different', 'journals')",9
"('doesnt', 'seem')",9
"('doesnt', 'work')",9
"('dont', 'get')",9
"('dont', 'need')",9
"('easier', 'type')",9
"('end', 'entry')",9
"('entries', 'one')",9
"('excited', 'see')",9
"('feature', 'would')",9
"('features', 'make')",9
"('features', 'missing')",9
"('format', 'text')",9
"('get', 'better')",9
"('get', 'ipad')",9
"('give', 'stars')",9
"('good', 'add')",9
"('im', 'really')",9
"('iphone', 'pro')",9
"('ive', 'looking')",9
"('journal', 'great')",9
"('like', 'way')",9
"('like', 'would')",9
"('like', 'writing')",9
"('love', 'love')",9
"('make', 'sense')",9
"('next', 'update')",9
"('past', 'entries')",9
"('phone', 'dont')",9
"('really', 'excited')",9
"('really', 'nice')",9
"('room', 'improvement')",9
"('scroll', 'back')",9
"('search', 'functionality')",9
"('share', 'journal')",9
"('sort', 'entries')",9
"('start', 'using')",9
"('thought', 'would')",9
"('use', 'daily')",9
"('use', 'phone')",9
"('using', 'apple')",9
"('version', 'app')",9
"('want', 'like')",9
"('way', 'search')",9
"('would', 'give')",9
"('would', 'good')",9
"('would', 'helpful')",9
"('ability', 'create')",8
"('ability', 'share')",8
"('ability', 'use')",8
"('able', 'change')",8
"('add', 'entries')",8
"('add', 'entry')",8
"('also', 'like')",8
"('app', 'ever')",8
"('app', 'instead')",8
"('app', 'lets')",8
"('app', 'many')",8
"('app', 'overall')",8
"('apple', 'watch')",8
"('attach', 'photos')",8
"('cant', 'export')",8
"('come', 'back')",8
"('could', 'also')",8
"('daily', 'life')",8
"('definitely', 'needs')",8
"('easily', 'find')",8
"('enjoy', 'using')",8
"('entries', 'day')",8
"('entry', 'also')",8
"('everything', 'else')",8
"('excited', 'app')",8
"('features', 'app')",8
"('future', 'updates')",8
"('game', 'changer')",8
"('get', 'app')",8
"('great', 'addition')",8
"('great', 'concept')",8
"('however', 'think')",8
"('im', 'glad')",8
"('im', 'loving')",8
"('im', 'using')",8
"('iphone', 'would')",8
"('isnt', 'available')",8
"('ive', 'ever')",8
"('journal', 'apple')",8
"('journal', 'dont')",8
