word,frequency
app,2443
journal,1135
like,984
would,929
apple,599
ipad,533
entries,526
love,518
use,512
add,506
great,429
one,428
notes,420
search,386
really,380
entry,350
day,348
im,347
also,347
could,335
see,332
make,324
features,323
journaling,315
able,314
write,314
phone,305
want,286
please,283
good,273
way,272
using,271
dont,247
time,246
apps,242
text,235
option,231
cant,230
available,222
even,219
needs,210
need,208
photos,206
ability,199
writing,196
feature,195
get,195
something,194
much,193
better,193
back,192
think,190
iphone,189
nice,187
ive,184
new,179
things,172
id,167
wish,159
suggestions,156
find,150
well,150
mac,150
simple,150
different,139
hope,137
lot,134
etc,134
journals,133
type,128
date,126
many,125
keep,124
thoughts,124
however,124
far,123
function,122
doesnt,122
health,121
idea,120
options,119
typing,118
version,118
thing,117
work,117
calendar,114
tags,112
prompts,110
start,110
people,110
easy,109
maybe,108
basic,107
added,107
screen,107
go,106
change,105
still,104
top,104
without,104
keyboard,103
missing,103
put,101
export,101
page,100
