ngram,frequency
"('like', 'notes', 'app')",31
"('would', 'love', 'see')",31
"('would', 'love', 'able')",26
"('would', 'like', 'see')",25
"('make', 'available', 'ipad')",23
"('id', 'like', 'see')",16
"('please', 'add', 'search')",16
"('really', 'like', 'app')",16
"('app', 'available', 'ipad')",14
"('new', 'journal', 'app')",14
"('app', 'would', 'love')",13
"('journal', 'app', 'would')",12
"('please', 'make', 'available')",12
"('would', 'like', 'able')",12
"('ipad', 'apple', 'pencil')",11
"('using', 'notes', 'app')",11
"('id', 'love', 'see')",10
"('would', 'make', 'app')",10
"('apple', 'journal', 'app')",9
"('id', 'like', 'able')",9
"('simple', 'easy', 'use')",9
"('would', 'great', 'could')",9
"('absolutely', 'love', 'app')",8
"('add', 'search', 'function')",8
"('needs', 'search', 'function')",8
"('using', 'journal', 'app')",8
"('would', 'love', 'use')",8
"('would', 'nice', 'could')",8
"('able', 'use', 'ipad')",7
"('also', 'would', 'great')",7
"('enjoy', 'using', 'app')",7
"('isnt', 'available', 'ipad')",7
"('like', 'idea', 'app')",7
"('love', 'app', 'much')",7
"('notes', 'app', 'journal')",7
"('really', 'like', 'idea')",7
"('text', 'formatting', 'options')",7
"('third', 'party', 'apps')",7
"('wish', 'could', 'add')",7
"('would', 'great', 'able')",7
"('would', 'really', 'like')",7
"('also', 'would', 'nice')",6
"('app', 'could', 'use')",6
"('app', 'great', 'potential')",6
"('app', 'ipad', 'mac')",6
"('app', 'much', 'potential')",6
"('apple', 'pencil', 'ipad')",6
"('available', 'ipad', 'mac')",6
"('available', 'ipad', 'well')",6
"('cant', 'wait', 'see')",6
"('features', 'like', 'search')",6
"('id', 'love', 'able')",6
"('im', 'looking', 'forward')",6
"('journal', 'app', 'apple')",6
"('looking', 'forward', 'app')",6
"('love', 'journal', 'app')",6
"('make', 'even', 'better')",6
"('please', 'add', 'ability')",6
"('please', 'please', 'please')",6
"('use', 'app', 'ipad')",6
"('use', 'apple', 'pencil')",6
"('using', 'day', 'one')",6
"('wish', 'available', 'ipad')",6
"('would', 'really', 'love')",6
"('app', 'easy', 'use')",5
"('app', 'mac', 'ipad')",5
"('app', 'would', 'like')",5
"('available', 'mac', 'ipad')",5
"('could', 'use', 'ipad')",5
"('formatting', 'options', 'like')",5
"('journal', 'app', 'one')",5
"('looking', 'forward', 'seeing')",5
"('love', 'able', 'add')",5
"('love', 'app', 'far')",5
"('multiple', 'journals', 'different')",5
"('need', 'ipad', 'version')",5
"('notes', 'app', 'apple')",5
"('one', 'thing', 'would')",5
"('overall', 'great', 'app')",5
"('really', 'enjoy', 'using')",5
"('think', 'app', 'great')",5
"('time', 'open', 'app')",5
"('use', 'ipad', 'keyboard')",5
"('use', 'notes', 'app')",5
"('using', 'apple', 'pencil')",5
"('version', 'notes', 'app')",5
"('would', 'also', 'like')",5
"('would', 'also', 'nice')",5
"('would', 'give', 'stars')",5
"('would', 'like', 'use')",5
"('would', 'love', 'could')",5
"('would', 'nice', 'see')",5
