word,frequency
diary,934
app,896
journal,862
mood,711
day,607
daily,604
life,530
use,523
subscription,439
https,416
privacy,409
self,407
help,402
entries,356
terms,355
time,337
health,336
journaling,329
mental,318
account,308
features,299
track,288
free,287
write,275
make,268
data,267
one,265
thoughts,263
emotions,262
keep,261
policy,241
personal,237
notes,235
period,231
calendar,223
create,222
add,221
record,216
easy,215
gratitude,214
every,212
get,211
simple,206
end,205
current,190
care,188
us,184
private,183
purchase,182
like,179
also,178
auto,174
tracker,174
renewal,173
new,173
hours,173
photos,171
automatically,171
want,171
anxiety,170
itunes,169
better,166
support,166
set,161
memories,160
view,159
well,157
tasks,156
writing,156
feel,152
positive,151
charged,150
reminders,150
may,149
start,149
settings,147
share,147
take,146
events,145
habits,144
using,144
therapy,144
journey,144
feelings,143
emotional,141
user,141
lock,140
helps,137
see,136
moments,136
year,134
improve,134
manage,133
stress,133
need,133
premium,132
questions,131
way,130
ai,130
habit,129
days,129
designed,128
month,128
choose,125
access,124
goals,124
planner,122
reflect,121
trial,120
today,119
activities,118
experience,118
insights,117
easily,117
find,116
cbt,116
monthly,116
work,114
understand,111
even,109
apple,108
prompts,106
read,104
important,103
people,102
patterns,102
learn,101
text,100
mind,100
service,99
please,98
within,97
beautiful,97
love,96
tracking,96
practice,95
allows,95
unlimited,94
note,94
renew,94
back,94
best,94
list,93
least,92
growth,92
things,91
never,91
subscriptions,91
sync,90
entry,90
many,90
turned,89
makes,89
focus,89
icloud,88
week,87
journals,87
unless,87
device,87
id,87
moods,87
feature,86
plan,86
photo,84
screen,83
password,83
mindfulness,83
search,82
reflection,82
progress,82
check,81
change,81
depression,81
based,80
world,80
different,79
good,79
past,79
offers,79
users,79
always,78
build,77
feedback,77
backup,77
guided,76
secure,76
safe,75
payment,75
negative,75
without,73
multiple,73
save,73
tools,72
design,72
powerful,72
themes,70
identify,70
log,70
capture,70
available,70
information,69
friends,69
sleep,69
personalized,68
apps,67
download,67
organize,67
know,67
devices,66
export,66
stickers,66
exercises,66
look,65
notifications,65
place,65
weekly,65
statistics,64
secret,64
store,63
bullet,63
going,63
tags,63
email,63
everything,63
become,63
routine,62
try,62
go,61
tool,61
experiences,60
conditions,60
unique,60
thought,60
passcode,60
per,59
discover,59
affirmations,58
interface,58
prior,58
happiness,58
application,57
audio,57
making,57
touch,57
remember,57
unlock,57
automatic,57
full,57
right,57
space,57
cancel,57
page,56
voice,56
companion,56
happy,56
mode,56
schedule,55
express,55
gain,55
let,55
used,55
digital,55
therapist,55
explore,55
stay,55
turn,55
provides,54
stories,54
confirmation,54
ideas,54
renews,53
date,53
minutes,53
color,53
cognitive,53
made,53
give,52
iphone,52
first,52
reminder,52
version,52
skills,52
ipad,51
goal,51
task,51
quotes,51
content,51
contact,51
whether,50
setting,50
techniques,50
function,50
